,Gender,Unnamed: 1,Male,Female,Total,completion_month_year,year,year2,phase,Published paper,Published paper  YN,Published result in clicnicaltrials,others,R/O,official_title,source,source.1,intervention_names,Age eligible for study,Lowe limit of age < 18,Age upper limit,Age code upper limit,Study population,Country,Continent,Is there an extension study
4,NCT00236873,Sharief 1996,40,7,47,5/1/1993,1993,3,Phase 2,1,y,n,,R,Double-Blind Parallel Comparison of Topiramate 200 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,France,3,Europe,N
5,NCT00236847,Tassinari 1996,47,13,60,7/1/1993,1993,3,Phase 2,1,y,n,,R,"Double-Blind, Parallel Comparison of Topiramate 300 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,United Kingdom of Great Britain and Northern Ireland,3,Europe,N
5,NCT00236847,Tassinari 1996,47,13,60,7/1/1993,1993,3,Phase 2,1,y,n,,R,"Double-Blind, Parallel Comparison of Topiramate 300 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Italy,3,Europe,N
5,NCT00236847,Tassinari 1996,47,13,60,7/1/1993,1993,3,Phase 2,1,y,n,,R,"Double-Blind, Parallel Comparison of Topiramate 300 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,France,3,Europe,N
5,NCT00236847,Tassinari 1996,47,13,60,7/1/1993,1993,3,Phase 2,1,y,n,,R,"Double-Blind, Parallel Comparison of Topiramate 300 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Norway,3,Europe,N
5,NCT00236847,Tassinari 1996,47,13,60,7/1/1993,1993,3,Phase 2,1,y,n,,R,"Double-Blind, Parallel Comparison of Topiramate 300 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Denmark,3,Europe,N
6,NCT00004297,Alldredge 2001,129,76,205,2/1/1999,1999,3,Phase 3,1,y,n,,R,Phase III Randomized Study of Diazepam Vs Lorazepam Vs Placebo for Prehospital Treatment of Status Epilepticus,Office of Rare Diseases (ORD),2,diazepam | lorazepam,18 years and older,n,nil,>/75,United States of America,1,North America,N
7,NCT00236704,Biton 1999,45,35,80,12/1/1999,1999,3,Phase 3,1,y,n,,R,Topiramate Clinical Trial in Primary Generalized Tonic-Clonic Seizures,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,4 years and older,y,nil,>/75,United States of America,2,North America,N
7,NCT00236704,Biton 1999,45,35,80,12/1/1999,1999,3,Phase 3,1,y,n,,R,Topiramate Clinical Trial in Primary Generalized Tonic-Clonic Seizures,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,4 years and older,y,nil,>/75,Costa Rica,2,North America,N
8,NCT02171195,2016,64,0,64,10/1/2000,2000,1,Phase 1,0,n,y,,R,"A Single Centre, Phase I, Double-blind, Randomised, Placebo-controlled Study to Investigate the Safety, Tolerability, Pharmacokinetic Profile and Effects on EEG of Single Rising Oral Doses of BIA 2-093 When Given to Healthy Male Adult Volunteers.",Bial - Portela C S.A.,1,BIA 2-093 | Placebo,18-35,n,35,19-54,United Kingdom of Great Britain and Northern Ireland,3,Europe,N
9,NCT00236886,ben menachem 2003,16,22,38,6/1/2000,2000,3,Phase 3,1,y,n,,O,"Prospective Pilot Study on Metabolism and Weight Changes in Subjects With Diagnosed Partial Onset Epilepsy, With or Without Secondarily Generalized Seizures and Treated With Topiramate.","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,16 years and older,y,nil,>/75,Sweden,3,Europe,n
10,NCT00236743,Ritter 2000,45,38,83,10/1/2000,2000,3,Phase 3,1,y,n,,R,Topiramate (RWJ 17021-000) Clinical Trial In Children With Partial Onset Seizures,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,1_16,y,16,</18,United States of America,1,North America,Y
11,NCT00236717,Wheless 2004,65,54,119,11/1/2000,2000,3,Phase 3,1,y,n,,R,TOPAMAX (Topiramate) Monotherapy Comparison Trial to Standard Monotherapy in the Treatment of Newly Diagnosed Epilepsy (RWJ-17021-000); Phase IIIB,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,Topiramate; Carbamazepine; Valproate,6 years and older,y,nil,>/75,United States of America,1,North America,N
12,NCT02171234,2015,32,0,32,6/1/2001,2001,1,Phase 1,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Rising Multiple Dose Study to Investigate the Safety, Tolerability, Steady State Pharmacokinetic Profile and CNS Effects of BIA 2-093, in Young Healthy Male Volunteers.",Bial - Portela C S.A.,1,Placebo | BIA 2-093,18-45,n,45,19-54,United Kingdom of Great Britain and Northern Ireland,3,Europe,N
13,NCT00236756,Sachdeo 1999,53,45,98,2/1/2001,2001,3,Phase 3,1,y,n,,R,A Double-Blind Trial of Topiramate in Subjects With Lennox-Gastaut Syndrome.,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,12 months to 30 years,y,30,</18,United States of America,1,North America,N
14,NCT01678976,2015,6,6,12,4/1/2002,2002,3,Phase 1,0,n,y,,O,Tolerability and Pharmacokinetics of a Single 900 mg Oral Dose of BIA 2-093 and Oxcarbazepine in Healthy Volunteers,Bial - Portela C S.A.,1,BIA 2-093 | Oxcarbazepine,18–45,n,45,19-54,Portugal,3,Europe,n
15,NCT02170077,2017,57,87,144,11/1/2002,2002,3,Phase 2,0,n,y,,R,A Placebo-controlled Study to Investigate Safety and Efficacy of BIA 2-093 in Controlling Refractory Partial Seizures When Added to Ongoing Therapy,Bial - Portela C S.A.,1,BIA 2-093 | Placebo,18-65,n,65,65-<75,Portugal,3,Europe,N
16,NCT00230698,Gilliam 2003,130,122,252,8/1/2002,2002,3,Phase 3,1,y,n,,R,Topiramate (RWJ-17021-000) Monotherapy Clinical Trial in Patients With Recently Diagnosed Partial-Onset Seizures,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,3 years and older,y,nil,>/75,United States of America,2,"North America
Europe",Y
16,NCT00230698,Gilliam 2003,130,122,252,8/1/2002,2002,3,Phase 3,1,y,n,,R,Topiramate (RWJ-17021-000) Monotherapy Clinical Trial in Patients With Recently Diagnosed Partial-Onset Seizures,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,3 years and older,y,nil,>/75,Europe,2,"North America
Europe",Y
16,NCT00230698,Gilliam 2003,130,122,252,8/1/2002,2002,3,Phase 3,1,y,n,,R,Topiramate (RWJ-17021-000) Monotherapy Clinical Trial in Patients With Recently Diagnosed Partial-Onset Seizures,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,3 years and older,y,nil,>/75,Canada,2,"North America
Europe",Y
16,NCT00230698,Gilliam 2003,130,122,252,8/1/2002,2002,3,Phase 3,1,y,n,,R,Topiramate (RWJ-17021-000) Monotherapy Clinical Trial in Patients With Recently Diagnosed Partial-Onset Seizures,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,3 years and older,y,nil,>/75,Costa Rica,2,"North America
Europe",Y
19,NCT01679002,2015,6,6,12,12/1/2003,2003,1,Phase 1,0,n,y,,O,Steady-state Pharmacokinetics of BIA 2-093 and Oxcarbazepine in Healthy Volunteers,Bial - Portela C S.A.,1,BIA 2-093 | Oxcarbazepine,18-45,n,45,19-54,Portugal,3,Europe,n
20,NCT00615615,Glauser 2006,100,98,198,3/1/2003,2003,3,Phase 3,2,y,n,"2 publication, only original publication is recorded",R,"Evaluation of the Efficacy and Tolerability of Levetiracetam Add-On Treatment in Refractory Pediatric Patients With Partial Onset Seizures: A 28-Week Double-Blind, Placebo-Controlled Multi-center Trial",UCB Pharma,1,Levetiracetam,4_16,y,16,</18,United States of America,2,North America,Y
20,NCT00615615,Glauser 2006,100,98,198,3/1/2003,2003,3,Phase 3,2,y,n,"2 publication, only original publication is recorded",R,"Evaluation of the Efficacy and Tolerability of Levetiracetam Add-On Treatment in Refractory Pediatric Patients With Partial Onset Seizures: A 28-Week Double-Blind, Placebo-Controlled Multi-center Trial",UCB Pharma,1,Levetiracetam,4_16,y,16,</18,Canada,2,North America,Y
21,NCT00646711,Kernitsky 2005,10,6,16,12/1/2003,2003,3,Phase 2,1,y,y,,O,"A 14 Day Randomized, Open-Label, Cross-Over, Single Center, Outpatient Study of Depakote Delayed-Release or Depakote Sprinkle vs. Divalproex Sodium Extended-Release in Child and Adolescent Patients With Epilepsy",Abbott,1,Depakote Delayed-Release/Depakote Sprinkle | Depakote ER,6_17,y,17,</18,United States of America,1,North America,n
24,NCT00610454,Baulac 2007,12,13,25,8/1/2004,2004,3,Phase 2,1,y,n,,O,"Trial Evaluating the Safety and Tolerability of Levetiracetam Intravenous 15-minute Infusion, Administered in b.i.d. Regimen as an Adjunctive Antiepileptic Treatment in Subjects From 16 to 65 Years Suffering From Partial Onset Seizures",UCB Pharma,1,Levetiracetam,16-65,y,65,65-<75,France,3,europe,n
24,NCT00610454,Baulac 2007,12,13,25,8/1/2004,2004,3,Phase 2,1,y,n,,O,"Trial Evaluating the Safety and Tolerability of Levetiracetam Intravenous 15-minute Infusion, Administered in b.i.d. Regimen as an Adjunctive Antiepileptic Treatment in Subjects From 16 to 65 Years Suffering From Partial Onset Seizures",UCB Pharma,1,Levetiracetam,16-65,y,65,65-<75,Germany,3,europe,n
24,NCT00610454,Baulac 2007,12,13,25,8/1/2004,2004,3,Phase 2,1,y,n,,O,"Trial Evaluating the Safety and Tolerability of Levetiracetam Intravenous 15-minute Infusion, Administered in b.i.d. Regimen as an Adjunctive Antiepileptic Treatment in Subjects From 16 to 65 Years Suffering From Partial Onset Seizures",UCB Pharma,1,Levetiracetam,16-65,y,65,65-<75,United Kingdom of Great Britain and Northern Ireland,3,europe,n
25,NCT00800215,Biton 2008,25,35,60,11/1/2004,2004,3,Phase 2,1,y,n,,R,"A Multicenter, Double-blind, Double-dummy, Randomized Trial to Investigate the Safety, Tolerability and Pharmacokinetics of Intravenous SPM 927 as Replacement for Oral SPM 927 in Subjects With Partial Seizures With or Without Secondary Generalization",UCB Pharma,1,iv SPM 927 and oral placebo tablet | oral SPM 927 tablet and iv placebo | iv SPM 927 and oral placebo tablet | oral SPM 927 tablet and iv placebo,19-61,n,61,55-<65,United States of America,2,"North America 
Europe",Y
25,NCT00800215,Biton 2008,25,35,60,11/1/2004,2004,3,Phase 2,1,y,n,,R,"A Multicenter, Double-blind, Double-dummy, Randomized Trial to Investigate the Safety, Tolerability and Pharmacokinetics of Intravenous SPM 927 as Replacement for Oral SPM 927 in Subjects With Partial Seizures With or Without Secondary Generalization",UCB Pharma,1,iv SPM 927 and oral placebo tablet | oral SPM 927 tablet and iv placebo | iv SPM 927 and oral placebo tablet | oral SPM 927 tablet and iv placebo,19-61,n,61,55-<65,Lithuania,2,"North America 
Europe",Y
26,NCT00643136,Haas 2007,12,5,17,6/1/2004,2004,3,Phase 3,1,y,n,,R,"Pregabalin BID Add-on Trial: a Randomized, Double-Blind, Placebo-Controlled Parallel-Group Single-Center Sleep EEG Study in Patients With Partial Seizures and Sleep Disturbance Part B: a Randomized, Double-Blind, Placebo-Controlled Parallel-Group Study of Pregabalin Add-on Treatment",Pfizer,1,Pregabalin | Placebo,18 years and older,n,nil,>/75,Netherlands,3,Europe,N
27,NCT00160628,heo 2007,52,48,100,10/1/2004,2004,3,Phase 3,1,y,n,,O,"A Korea, Republic ofn Open-label, Multi-center, Community-based Trial Assessing the Efficacy and Safety of Levetiracetam as Adjunctive Therapy in Adult Subjects With Uncontrolled Partial Epilepsy for Bridging Purpose With a Similar Study on Caucasian Epileptic Subjects",UCB Pharma,1,Levetiracetam,18 years and older,n,nil,>/75,"Korea, Republic of",4,Asia,n
28,NCT00150774,Noachtar 2008,44,77,121,12/1/2004,2004,3,Phase 3,2,y,n,"2 publication, 1 with pooled analysis, in view of duplicate population, nly the original study data is extracted",R,"A Double-blind, Multicenter, Randomized, Placebo-controlled Study to Evaluate the Efficacy and Safety of Levetiracetam (LEV) (Oral Tablets of 500 mg b.i.d.) at a Dose of 3000 mg/Day as Adjunctive Treatment in Adolescents (__‰ 12 Years) and Adults (___ 65 Years) Suffering From Idiopathic Generalized Epilepsy With Myoclonic Seizures.",UCB Pharma,1,Levetiracetam,12_65,y,65,65-<75,Australia,2,"Oceania
Europe
North America",N
28,NCT00150774,Noachtar 2008,44,77,121,12/1/2004,2004,3,Phase 3,2,y,n,"2 publication, 1 with pooled analysis, in view of duplicate population, nly the original study data is extracted",R,"A Double-blind, Multicenter, Randomized, Placebo-controlled Study to Evaluate the Efficacy and Safety of Levetiracetam (LEV) (Oral Tablets of 500 mg b.i.d.) at a Dose of 3000 mg/Day as Adjunctive Treatment in Adolescents (__‰ 12 Years) and Adults (___ 65 Years) Suffering From Idiopathic Generalized Epilepsy With Myoclonic Seizures.",UCB Pharma,1,Levetiracetam,12_65,y,65,65-<75,New Zealand,2,"Oceania
Europe
North America",N
28,NCT00150774,Noachtar 2008,44,77,121,12/1/2004,2004,3,Phase 3,2,y,n,"2 publication, 1 with pooled analysis, in view of duplicate population, nly the original study data is extracted",R,"A Double-blind, Multicenter, Randomized, Placebo-controlled Study to Evaluate the Efficacy and Safety of Levetiracetam (LEV) (Oral Tablets of 500 mg b.i.d.) at a Dose of 3000 mg/Day as Adjunctive Treatment in Adolescents (__‰ 12 Years) and Adults (___ 65 Years) Suffering From Idiopathic Generalized Epilepsy With Myoclonic Seizures.",UCB Pharma,1,Levetiracetam,12_65,y,65,65-<75,Europe,2,"Oceania
Europe
North America",N
28,NCT00150774,Noachtar 2008,44,77,121,12/1/2004,2004,3,Phase 3,2,y,n,"2 publication, 1 with pooled analysis, in view of duplicate population, nly the original study data is extracted",R,"A Double-blind, Multicenter, Randomized, Placebo-controlled Study to Evaluate the Efficacy and Safety of Levetiracetam (LEV) (Oral Tablets of 500 mg b.i.d.) at a Dose of 3000 mg/Day as Adjunctive Treatment in Adolescents (__‰ 12 Years) and Adults (___ 65 Years) Suffering From Idiopathic Generalized Epilepsy With Myoclonic Seizures.",UCB Pharma,1,Levetiracetam,12_65,y,65,65-<75,North America,2,"Oceania
Europe
North America",N
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,France,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Belgium,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Australia,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Poland,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Germany,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,czechiaia,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,United Kingdom of Great Britain and Northern Ireland,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Argentina,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Finland,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Netherlands,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Bulgaria,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Mexico,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Switzerland,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Hungary,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Austria,3,"Europe
South America
North America",n
29,NCT00630968,steinhoff 2007,768,773,1541,2/1/2004,2004,3,Phase 4,2,y,n,"2 publication, 1 with interim analysis, full analysis is included",O,Trial Studying the Safety and Efficacy of KeppraÔÎ as Adjunctive Therapy in Adult Patients With Uncontrolled Partial Epilepsy,UCB Pharma,1,Levetiracetam (Keppra),16 years and older,y,nil,>/75,Ireland,3,"Europe
South America
North America",n
31,NCT00160550,Berkovic 2007,73,91,164,6/1/2005,2005,3,Phase 3,2,y,n,"2 publication, 1 with pooled analysis, in view of duplicate population, nly the original study data is extracted",R,"A Double-blind, Multicenter, Randomized, Placebo-controlled Study to Evaluate the Efficacy and Safety of Adjunctive Treatment With 3000 mg/Day (Pediatric Target Dose of 60 mg/kg/Day) Oral Levetiracetam (LEV) (166, 250, and 500mg Tablets), in Adult and Pediatric Subjects (4-65 Years) Suffering From Idiopathic Generalized Epilepsy With Primary Generalized Tonic-clonic (PGTC) Seizures.",UCB Pharma,1,Levetiracetam,4–65,y,65,65-<75,Europe,2,"Europe
North America
Oceania",Y
31,NCT00160550,Berkovic 2007,73,91,164,6/1/2005,2005,3,Phase 3,2,y,n,"2 publication, 1 with pooled analysis, in view of duplicate population, nly the original study data is extracted",R,"A Double-blind, Multicenter, Randomized, Placebo-controlled Study to Evaluate the Efficacy and Safety of Adjunctive Treatment With 3000 mg/Day (Pediatric Target Dose of 60 mg/kg/Day) Oral Levetiracetam (LEV) (166, 250, and 500mg Tablets), in Adult and Pediatric Subjects (4-65 Years) Suffering From Idiopathic Generalized Epilepsy With Primary Generalized Tonic-clonic (PGTC) Seizures.",UCB Pharma,1,Levetiracetam,4–65,y,65,65-<75,North America,2,"Europe
North America
Oceania",Y
31,NCT00160550,Berkovic 2007,73,91,164,6/1/2005,2005,3,Phase 3,2,y,n,"2 publication, 1 with pooled analysis, in view of duplicate population, nly the original study data is extracted",R,"A Double-blind, Multicenter, Randomized, Placebo-controlled Study to Evaluate the Efficacy and Safety of Adjunctive Treatment With 3000 mg/Day (Pediatric Target Dose of 60 mg/kg/Day) Oral Levetiracetam (LEV) (166, 250, and 500mg Tablets), in Adult and Pediatric Subjects (4-65 Years) Suffering From Idiopathic Generalized Epilepsy With Primary Generalized Tonic-clonic (PGTC) Seizures.",UCB Pharma,1,Levetiracetam,4–65,y,65,65-<75,Mexico,2,"Europe
North America
Oceania",Y
31,NCT00160550,Berkovic 2007,73,91,164,6/1/2005,2005,3,Phase 3,2,y,n,"2 publication, 1 with pooled analysis, in view of duplicate population, nly the original study data is extracted",R,"A Double-blind, Multicenter, Randomized, Placebo-controlled Study to Evaluate the Efficacy and Safety of Adjunctive Treatment With 3000 mg/Day (Pediatric Target Dose of 60 mg/kg/Day) Oral Levetiracetam (LEV) (166, 250, and 500mg Tablets), in Adult and Pediatric Subjects (4-65 Years) Suffering From Idiopathic Generalized Epilepsy With Primary Generalized Tonic-clonic (PGTC) Seizures.",UCB Pharma,1,Levetiracetam,4–65,y,65,65-<75,Australia,2,"Europe
North America
Oceania",Y
